season,season_id,school_id,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2017,12560,340,74.0,53,14,7,0,0,0,0,1,0,0.9054054054054054,
2017,12560,341,156.0,100,107,7,0,0,2,1,17,0,0.9672897196261683,0.5
2017,12560,342,65.0,19,35,11,0,0,1,0,2,0,0.8307692307692308,0.0
2017,12560,346,841.0,610,215,16,1,7,48,17,32,0,0.9809750297265161,0.3541666666666667
2017,12560,347,627.0,415,149,63,1,39,118,27,18,0,0.8995215311004785,0.2288135593220339
2017,12560,348,805.0,564,192,49,0,6,96,20,40,0,0.9391304347826087,0.20833333333333334
2017,12560,349,13.0,4,19,2,0,0,13,2,1,0,0.92,0.15384615384615385
2017,12560,350,330.0,340,276,30,0,13,79,32,11,0,0.9535603715170279,0.4050632911392405
2017,12560,351,451.0,301,131,19,0,2,42,11,19,0,0.9578713968957872,0.2619047619047619
2017,12560,352,221.0,73,129,19,0,0,5,1,19,0,0.9140271493212669,0.2
2017,12560,354,653.0,414,203,36,0,0,16,9,34,0,0.9448698315467075,0.5625
2017,12560,355,546.0,473,59,14,0,5,37,10,6,0,0.9743589743589743,0.2702702702702703
2017,12560,357,690.0,445,303,64,0,22,130,25,26,0,0.9211822660098522,0.19230769230769232
2017,12560,358,679.0,571,85,23,1,4,69,26,19,0,0.9661266568483063,0.37681159420289856
2017,12560,360,509.0,400,93,16,0,2,36,11,36,0,0.9685658153241651,0.3055555555555556
2017,12560,361,355.0,162,174,19,0,0,20,10,20,0,0.9464788732394366,0.5
2017,12560,363,318.0,222,78,18,0,3,41,9,8,0,0.9433962264150944,0.21951219512195122
2017,12560,364,81.0,59,28,6,0,0,6,1,4,0,0.9354838709677419,0.16666666666666666
2017,12560,365,24.0,18,6,0,0,0,4,3,0,0,1.0,0.75
2017,12560,366,188.0,158,25,5,0,0,0,0,5,0,0.973404255319149,
2017,12560,367,1523.0,1033,454,36,0,6,64,22,92,0,0.9763624425476034,0.34375
2017,12560,368,241.0,212,25,4,1,4,41,12,0,0,0.983402489626556,0.2926829268292683
2017,12560,370,30.0,4,25,1,0,0,11,6,2,0,0.9666666666666667,0.5454545454545454
2017,12560,372,328.0,782,968,38,0,17,42,15,57,0,0.9787472035794184,0.35714285714285715
2017,12560,374,1441.0,956,420,65,0,18,70,36,66,0,0.9548924358084664,0.5142857142857142
2017,12560,380,259.0,216,38,5,1,12,37,17,0,0,0.9806949806949807,0.4594594594594595
2017,12560,381,537.0,397,124,16,0,0,0,2,40,0,0.9702048417132216,
2017,12560,382,368.0,297,58,13,0,5,44,2,9,0,0.9646739130434783,0.045454545454545456
2017,12560,383,740.0,678,58,4,0,6,46,11,31,0,0.9945945945945946,0.2391304347826087
2017,12560,384,441.0,231,177,33,0,5,47,11,28,0,0.9251700680272109,0.23404255319148937
2017,12560,385,147.0,123,23,9,0,1,8,8,2,0,0.9419354838709677,1.0
2017,12560,386,29.0,4,22,3,0,0,6,6,0,0,0.896551724137931,1.0
2017,12560,388,493.0,409,71,13,0,5,16,8,10,0,0.973630831643002,0.5
2017,12560,390,233.0,304,345,22,0,1,38,6,19,0,0.9672131147540983,0.15789473684210525
2017,12560,391,551.0,363,168,20,0,3,23,7,28,0,0.9637023593466425,0.30434782608695654
2017,12560,392,690.0,438,225,27,2,1,20,9,64,0,0.9608695652173913,0.45
2017,12560,393,383.0,286,67,30,0,15,81,14,9,0,0.9216710182767625,0.1728395061728395
2017,12560,394,604.0,454,228,28,2,22,58,12,20,0,0.9605633802816902,0.20689655172413793
2017,12560,395,504.0,435,63,6,0,0,22,12,31,0,0.9880952380952381,0.5454545454545454
2017,12560,396,90.0,70,13,7,0,0,4,0,1,0,0.9222222222222223,0.0
2017,12560,397,277.0,108,146,23,0,0,29,5,13,0,0.9169675090252708,0.1724137931034483
2017,12560,398,161.0,139,16,6,0,0,8,2,9,0,0.9627329192546584,0.25
2017,12560,399,109.0,69,35,5,0,1,5,3,5,0,0.9541284403669725,0.6
2017,12560,400,237.0,141,82,14,0,0,9,5,16,0,0.9409282700421941,0.5555555555555556
2017,12560,401,163.0,69,160,12,0,0,3,4,14,0,0.950207468879668,1.3333333333333333
2017,12560,402,520.0,428,83,9,1,3,75,19,7,0,0.9826923076923076,0.25333333333333335
2017,12560,404,49.0,10,36,3,0,0,17,7,2,0,0.9387755102040817,0.4117647058823529
2017,12560,406,459.0,408,49,2,0,0,23,11,34,0,0.9956427015250545,0.4782608695652174
2017,12560,407,400.0,255,128,17,0,0,30,10,17,0,0.9575,0.3333333333333333
2017,12560,408,250.0,916,1196,30,0,6,37,17,67,4,0.9859943977591037,0.4594594594594595
2017,12560,410,8.0,3,5,0,0,0,1,2,0,0,1.0,2.0
2017,12560,411,604.0,412,168,24,0,0,12,4,45,0,0.9602649006622517,0.3333333333333333
2017,12560,412,10.0,5,15,0,0,0,5,4,0,0,1.0,0.8
2017,12560,413,497.0,420,59,18,0,19,45,17,2,0,0.9637826961770624,0.37777777777777777
2017,12560,414,277.0,231,41,5,1,13,27,16,0,0,0.9819494584837545,0.5925925925925926
2017,12560,415,649.0,555,79,15,0,3,8,2,31,0,0.9768875192604006,0.25
2017,12560,416,853.0,555,268,30,0,10,67,13,44,1,0.9648300117233294,0.19402985074626866
2017,12560,418,764.0,563,193,8,0,0,2,0,59,0,0.9895287958115183,0.0
2017,12560,419,299.0,268,22,9,0,2,19,10,6,0,0.9698996655518395,0.5263157894736842
2017,12560,420,335.0,180,138,17,0,2,28,18,16,0,0.9492537313432836,0.6428571428571429
