season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2022,15860,196,1.0,2278,2260,440,643,108,13,77,392,53,18,266,497,4,1008,34.0,48,48,39,0.0,10,48.0,370.2577226606539,2613,0.285,0.295,0.366,0.534,0.9,102.0,0.065,0.328,743.104,717.454,742.768,62.8,0.412,0.029,0.19,0.102,0.088,0.535
2022,15860,198,1.0,1632,1621,338,479,113,9,65,324,14,7,172,349,6,805,33.0,33,19,20,0.0,3,41.0,295.85421983914216,1832,0.295,0.312,0.373,0.612,0.985,126.0,0.086,0.337,602.938,588.724,603.868,23.0,0.441,0.035,0.191,0.094,0.097,0.493
2022,15860,201,1.0,1872,1798,373,522,84,9,50,328,71,15,251,371,5,774,25.0,52,35,21,0.0,3,37.0,309.91091330551694,2105,0.29,0.311,0.392,0.51,0.902,98.0,0.062,0.338,576.722,558.352,578.764,58.7,0.417,0.024,0.176,0.119,0.057,0.677
2022,15860,202,1.0,2088,1983,376,535,103,8,69,346,43,13,294,564,12,861,31.0,61,6,29,0.0,6,34.0,338.76647281921623,2312,0.27,0.328,0.385,0.525,0.91,101.0,0.064,0.338,638.148,615.276,635.712,53.0,0.374,0.03,0.244,0.127,0.117,0.521
2022,15860,204,1.0,1760,1227,224,310,45,5,45,201,35,12,142,265,2,500,8.0,53,14,16,0.0,2,32.0,183.79552341597795,1399,0.253,0.289,0.361,0.485,0.846,87.0,0.049,0.284,367.93,352.484,367.528,39.4,0.389,0.032,0.189,0.102,0.087,0.536
2022,15860,219,1.0,1568,1759,370,494,106,5,73,354,43,11,226,391,9,829,12.0,65,7,19,0.0,6,19.0,331.21566473988446,2011,0.281,0.337,0.39,0.576,0.966,117.0,0.069,0.32,633.022,608.91,627.42,54.1,0.417,0.036,0.194,0.112,0.082,0.578
2022,15860,220,1.0,1716,1835,390,526,111,13,75,350,41,26,235,398,4,888,21.0,66,16,20,0.0,6,31.0,346.6444014732965,2106,0.287,0.334,0.393,0.592,0.985,122.0,0.082,0.326,669.496,650.038,678.836,53.0,0.419,0.036,0.189,0.112,0.077,0.59
2022,15860,222,1.0,1998,1863,349,525,99,12,51,322,104,35,216,432,2,801,24.0,95,16,19,0.0,7,39.0,310.03778180172026,2114,0.282,0.301,0.395,0.517,0.912,100.0,0.072,0.339,607.954,591.776,625.812,68.4,0.38,0.024,0.204,0.102,0.102,0.5
2022,15860,228,1.0,1770,1823,328,484,78,9,35,275,39,17,238,509,2,685,32.0,60,18,19,0.0,6,44.0,258.8304911955515,2098,0.265,0.253,0.373,0.443,0.816,75.0,0.058,0.346,485.308,474.128,495.136,36.9,0.392,0.017,0.243,0.113,0.13,0.468
2022,15860,229,1.0,1856,1895,393,549,108,6,84,363,50,15,282,434,7,921,33.0,72,13,20,0.0,1,37.0,378.8940666082384,2210,0.29,0.364,0.409,0.591,1.0,124.0,0.066,0.333,696.508,679.442,701.664,62.7,0.377,0.038,0.196,0.128,0.068,0.65
2022,15860,231,1.0,1750,1463,198,352,49,2,25,164,53,24,160,414,3,480,10.0,47,18,13,0.0,11,28.0,164.54419753086418,1654,0.241,0.217,0.338,0.38,0.718,52.0,0.038,0.315,330.698,316.252,339.104,34.0,0.324,0.015,0.25,0.097,0.153,0.386
2022,15860,234,1.0,1888,1468,242,388,79,6,35,213,32,15,179,423,6,584,19.0,66,11,12,0.0,4,27.0,222.96455069124423,1670,0.264,0.267,0.379,0.48,0.859,87.0,0.066,0.345,430.286,417.14,435.4,33.4,0.346,0.021,0.253,0.107,0.146,0.423
2022,15860,235,1.0,2112,2120,418,577,91,12,114,382,55,21,285,524,8,1034,40.0,60,19,33,0.0,6,48.0,383.6990305919746,2457,0.272,0.366,0.375,0.59,0.965,120.0,0.06,0.306,765.628,743.646,771.112,74.2,0.376,0.046,0.213,0.116,0.097,0.544
2022,15860,236,1.0,1768,1647,269,410,82,3,22,228,63,24,199,366,2,564,20.0,73,26,21,0.0,12,34.0,205.83763987792474,1893,0.249,0.238,0.36,0.407,0.767,63.0,0.055,0.303,407.412,391.484,415.688,32.6,0.374,0.012,0.193,0.105,0.088,0.544
2022,15860,248,1.0,1960,1878,330,514,97,11,36,295,102,34,218,376,5,741,26.0,80,38,20,0.0,11,40.0,275.1130528200537,2154,0.274,0.273,0.377,0.471,0.848,84.0,0.069,0.322,553.222,534.858,567.556,53.2,0.379,0.017,0.175,0.101,0.074,0.58
2022,15860,249,1.0,1456,1704,287,480,91,6,38,246,34,19,181,368,2,697,19.0,52,16,14,0.0,3,36.0,259.81127605490593,1915,0.282,0.242,0.372,0.488,0.86,89.0,0.064,0.337,508.046,493.738,515.836,35.9,0.369,0.02,0.192,0.095,0.097,0.492
2022,15860,251,1.0,1904,1480,305,396,78,5,73,273,43,13,222,419,3,703,14.0,47,18,18,0.0,3,19.0,276.0107338935574,1738,0.268,0.378,0.383,0.58,0.963,118.0,0.063,0.321,526.118,509.328,527.316,54.1,0.392,0.042,0.241,0.128,0.113,0.53
2022,15860,253,1.0,2074,2079,441,615,111,13,62,405,48,9,263,473,11,938,36.0,92,59,23,0.0,8,48.0,377.76216216216216,2424,0.296,0.301,0.4,0.541,0.941,108.0,0.072,0.353,714.676,692.408,711.396,54.1,0.417,0.026,0.195,0.108,0.087,0.556
2022,15860,254,1.0,1848,1700,309,478,93,4,62,271,69,20,201,458,7,765,24.0,49,25,19,0.0,14,31.0,284.11929789368105,1945,0.281,0.316,0.374,0.544,0.918,106.0,0.062,0.347,571.816,554.284,577.668,65.3,0.371,0.032,0.235,0.103,0.132,0.439
2022,15860,255,1.0,2160,2025,500,660,107,18,95,465,64,11,267,423,11,1088,34.0,60,6,31,0.0,6,39.0,461.4245458350774,2329,0.326,0.369,0.424,0.646,1.07,142.0,0.08,0.367,840.266,815.63,836.88,76.5,0.454,0.041,0.182,0.115,0.067,0.631
2022,15860,257,1.0,2183,1995,410,568,84,13,79,376,19,4,275,529,13,915,29.0,49,17,25,0.0,1,33.0,362.3360694620923,2312,0.285,0.319,0.386,0.547,0.933,108.0,0.062,0.346,675.868,652.174,667.228,30.6,0.407,0.034,0.229,0.119,0.11,0.52
2022,15860,260,1.0,1792,1778,308,493,94,11,36,285,38,17,182,357,3,717,19.0,60,20,21,0.0,3,36.0,264.2697428432799,2001,0.277,0.24,0.367,0.483,0.85,87.0,0.071,0.325,527.844,509.34,530.56,37.0,0.389,0.018,0.178,0.091,0.087,0.51
2022,15860,261,1.0,1430,1656,428,516,93,20,51,380,75,22,216,433,1,802,15.0,87,17,23,0.0,13,26.0,344.4854627313657,1912,0.312,0.335,0.428,0.583,1.011,124.0,0.092,0.389,626.086,607.31,632.56,60.7,0.491,0.027,0.226,0.113,0.113,0.499
2022,15860,272,1.0,1500,1683,262,432,78,11,61,242,68,26,198,459,3,715,23.0,41,21,15,0.0,12,31.0,246.65474974463737,1917,0.257,0.311,0.35,0.514,0.864,94.0,0.066,0.315,515.788,502.242,528.944,64.3,0.33,0.032,0.239,0.103,0.136,0.431
